fraction	superkingdom	phylum	class	order	family	genus	species
0.009760136198794268	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Elizabethkingia	s__Elizabethkingia bruuniana
0.005282367620135965	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Thermotogales	f__Fervidobacteriaceae	g__Fervidobacterium	s__Fervidobacterium pennivorans_A
0.00521240248609443	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Thermaceae	g__Thermus_A	s__Thermus_A filiformis
0.0042183145399209395	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Thermotogales	f__Fervidobacteriaceae	g__Fervidobacterium	s__Fervidobacterium nodosum
0.003996758282122742	d__Bacteria	p__Bacillota_A	c__Thermoanaerobacteria	o__Caldicellulosiruptorales	f__Caldicellulosiruptoraceae	g__Caldicellulosiruptor	s__Caldicellulosiruptor morganii
0.0038772345114684516	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Tepidimonas	s__Tepidimonas sp020723845
0.003775202024324545	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Thermotogales	f__Fervidobacteriaceae	g__Fervidobacterium	s__Fervidobacterium gondwanense
0.0035798826917919236	d__Bacteria	p__Aquificota	c__Aquificae	o__Hydrogenothermales	f__Hydrogenothermaceae	g__Sulfurihydrogenibium	s__Sulfurihydrogenibium azorense
0.0027869445059878492	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter freundii
0.002442949263616964	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Thermonemataceae	g__Thermonema	s__Thermonema lapsum
0.002308849423370687	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__Chloroflexales	f__Chloroflexaceae	g__Chloroflexus	s__Chloroflexus aurantiacus
0.002212647364063575	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum calidifontis
0.0021193605186748603	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__NBVN01	g__Zestosphaera	s__Zestosphaera tikiterensis
0.001959023753163007	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Leclercia	s__Leclercia adecarboxylata
0.0017054001422624392	d__Bacteria	p__Dictyoglomota	c__Dictyoglomia	o__Dictyoglomales	f__Dictyoglomaceae	g__NZ13-RE01	s__NZ13-RE01 sp002878375
0.001221474631808482	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__UBA7405	s__UBA7405 sp000755535
0.001203983348298098	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Listeriaceae	g__Brochothrix	s__Brochothrix thermosphacta
0.001104866075072589	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Ignisphaeraceae	g__Ignisphaera	s__Ignisphaera aggregans
0.001104866075072589	d__Bacteria	p__Bacillota	c__Bacilli	o__Paenibacillales	f__NBRC-103111	g__Paenibacillus_G	s__Paenibacillus_G validus
0.0008366663945800342	d__Bacteria	p__Dictyoglomota	c__Dictyoglomia	o__Dictyoglomales	f__Dictyoglomaceae	g__Dictyoglomus	s__Dictyoglomus thermophilum
0.000833751180661637	d__Bacteria	p__Bacillota	c__Bacilli	o__Paenibacillales	f__NBRC-103111	g__Paenibacillus_E	s__Paenibacillus_E sp008017805
0.0005130776496379304	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter kobei
0.0005043320078827384	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	s__Thermodesulfobacterium commune
0.0004985015800459437	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Parvibaculales	f__Parvibaculaceae	g__Parvibaculum	s__Parvibaculum sp019635965
0.00047809508261716246	d__Bacteria	p__Bacillota	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_I	s__Paenibacillus_I darwinianus
0.0004401973016779971	d__Archaea	p__Thermoproteota	c__Korarchaeia	o__Korarchaeales	f__Korarchaeaceae	g__Korarchaeum	s__Korarchaeum sp003344655
0.00037023216763646115	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermofilales	f__Thermofilaceae	g__Infirmifilum	s__Infirmifilum sp002855745
0.00036731695371806385	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Thermaceae	g__Thermus	s__Thermus thermophilus
0.0003644017397996665	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter soli
0.0003381648145340905	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter hormaechei_A
0.0003294191727788985	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Thermaceae	g__Meiothermus	s__Meiothermus cerbereus
0.0002915213918397332	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Aquaspirillaceae	g__Microvirgula	s__Microvirgula aerodenitrificans
0.00027694532224774657	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Thermaceae	g__Thermus	s__Thermus scotoductus
0.00024779318306377324	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Carnobacterium	s__Carnobacterium maltaromaticum
0.0002098954021246079	d__Bacteria	p__Bacillota_A	c__Thermoanaerobacteria	o__Caldicellulosiruptorales	f__Caldicellulosiruptoraceae	g__Caldicellulosiruptor	s__Caldicellulosiruptor acetigenus
0.00020406497428781324	d__Archaea	p__Thermoproteota	c__Nitrososphaeria_A	o__Caldarchaeales	f__Wolframiiraptoraceae	g__Terraquivivens	s__Terraquivivens tikiterensis
0.00019531933253262124	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Stappiaceae	g__Pannonibacter	s__Pannonibacter indicus
0.00018657369077742925	d__Bacteria	p__Bacillota_A	c__Thermoanaerobacteria	o__Caldicellulosiruptorales	f__Caldicellulosiruptoraceae	g__Caldicellulosiruptor	s__Caldicellulosiruptor danielii
0.00015742155159345592	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Spirillospora	s__Spirillospora cremea
0.0001457606959198666	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Anoxybacillus	s__Anoxybacillus flavithermus
0.0001457606959198666	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Tepidicella	s__Tepidicella xavieri
0.0001457606959198666	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp002874965
0.0001457606959198666	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Rehaibacterium	s__Rehaibacterium terrae
0.9319006028662383	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
